"","token","frequency","avg_rating","avg_stdev"
"1","love",8170,4.82447980416157,0.567438146054888
"2","selection",932,4.3980686695279,0.996942976931813
"3","happy",560,4.61071428571429,0.948716970228097
"4","greatly",10,4.7,0.674948557710553
"5","thumb",154,4.61688311688312,0.978180597009923
"6","preference",44,4.56818181818182,0.899553565573587
"7","station",2452,4.51468189233279,0.997440922189504
"8","genre",415,4.58313253012048,0.858154867771156
"9","listen",4298,4.56956724057701,0.957279156050157
"10","nice",678,4.42035398230088,0.880780433982633
"11","easy",1286,4.68662519440124,0.72246333546042
"12","availability",14,4.57142857142857,0.85163062725264
"13","choice",505,4.61386138613861,0.865685078623423
"14","musician",28,4.64285714285714,0.911420775870196
"15","perfect",355,4.7887323943662,0.56035433094385
"16","awesome",1892,4.86575052854123,0.489930673308034
"17","pleasure",40,4.825,0.594310632754563
"18","additional",17,3.64705882352941,0.996316746232607
"19","s5",7,1.85714285714286,0.690065559342354
"20","adore",9,4.66666666666667,0.707106781186547
"21","fantastic",179,4.88268156424581,0.511311998516319
"22","live",247,4.54251012145749,0.986295614677105
"23","radio",1961,4.57368689444161,0.956076763353809
"24","ear",41,4.65853658536585,0.728345937640932
"25","incredible",28,4.82142857142857,0.611832186419302
"26","rock",244,4.59426229508197,0.927033338977948
"27","mix",154,4.47402597402597,0.978180597009924
"28","cool",389,4.62724935732648,0.797791986447625
"29","unusable",15,1.2,0.414039335605413
"30","wipe",8,1.25,0.707106781186548
"31","seamlessly",10,4.8,0.421637021355784
"32","alright",23,3.43478260869565,0.945135245565981
"33","sooo",11,4.90909090909091,0.301511344577764
"34","home",231,4.58441558441558,0.995869504511985
"35","hook",37,4.7027027027027,0.811886173770165
"36","speaker",60,4.71666666666667,0.64022418389945
"37","cook",20,4.85,0.366347548532523
"38","surprise",54,4.62962962962963,0.734494982355578
"39","glitchy",11,1.81818181818182,0.981649817214043
"40","tune",196,4.48979591836735,0.98963757115404
"41","super",97,4.70103092783505,0.914751200846532
"42","endless",32,4.6875,0.820601667542903
"43","style",77,4.66233766233766,0.718375169729534
"44","organize",36,4.5,0.87831006565368
"45","type",359,4.55710306406685,0.975366121184099
"46","suit",20,4.6,0.820782681668123
"47","walk",43,4.55813953488372,0.825265486327635
"48","amaze",753,4.84993359893758,0.564982696825921
"49","customize",117,4.70940170940171,0.683043759135244
"50","savvy",6,4.83333333333333,0.408248290463863
"51","discover",121,4.60330578512397,0.944098678131468
"52","recommend",709,4.75881523272214,0.720715868220958
"53","price",135,4.48148148148148,0.921159650802426
"54","ease",69,4.71014492753623,0.666453503858126
"55","enjoy",944,4.62817796610169,0.745783812733855
"56","lover",155,4.81290322580645,0.506927295360719
"57","individually",6,1.66666666666667,0.816496580927726
"58","favorite",1297,4.74710871241326,0.740709774760382
"59","glad",118,4.66949152542373,0.847874010413342
